,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,transaction_id,trans_group_en,procedure_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,building_name_en,property_type_en,instance_date
613,Flat,Residential,Existing Properties,Al Wasl,2-13-2024-7613,Mortgages,Mortgage Registration,"NO.1, NO.2A, NO.2B, NO.3A AND 3B CITYWALK RESIDENTIAL",City Walk,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,3 B/R,1,215.85,2400000.0,11118.83,,,Citywalk Residential Building 2A,Unit,22-04-2024
614,Flat,Residential,Existing Properties,Al Warsan First,1-11-2008-210265,Sales,Sell,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,67.0,399000.0,5955.22,,,X-12,Unit,26-11-2008
615,Flat,Residential,Existing Properties,Nadd Hessa,2-13-2012-664,Mortgages,Mortgage Registration,IMPERIAL,Silicon Oasis,IMG World Adventures,,,1 B/R,1,63.82,583952.0,9149.98,,,THE IMPERIAL,Unit,27-02-2012
616,Flat,Residential,Existing Properties,Marsa Dubai,1-11-2009-202562,Sales,Sell,,Dubai Marina,Burj Al Arab,Jumeirah Lakes Towers,Marina Mall,3 B/R,1,169.46,1282600.0,7568.75,,,LA RIVIERA TOWER,Unit,26-01-2009
617,Flat,Residential,Existing Properties,Warsan Fourth,1-11-2012-13698,Sales,Sell,AL JAWZAA,International City Phase 3,,Rashidiya Metro Station,City Centre Mirdif,2 B/R,1,85.47,632920.0,7405.17,,,AL JAWZAA- A,Unit,30-07-2012
618,Flat,Residential,Existing Properties,Burj Khalifa,2-110-2012-1146,Mortgages,Lease to Own Registration,,Burj Khalifa,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,2 B/R,1,165.92,2426310.0,14623.37,2426310.0,14623.37,ALBAHAR,Unit,11-09-2012
619,Flat,Residential,Existing Properties,Al Warsan First,1-11-2015-4419,Sales,Sell,INTERNATIONAL CITY EMARATI,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,Studio,0,42.74,380000.0,8890.97,,,EMR-25,Unit,10-03-2015
620,Villa,Residential,Off-Plan Properties,Al Yelayiss 1,1-102-2013-11665,Sales,Sell - Pre registration,REEM-MIRA COMMUNITY PH5,,Dubai Cycling Course,,,4 B/R,0,264.03,1870397.0,7084.03,,,,Villa,04-12-2013
621,Flat,Residential,Off-Plan Properties,Al Hebiah Fifth,1-102-2008-39553,Sales,Sell - Pre registration,REMRAAM,Remraam,Motor City,,,2 B/R,1,96.34,907850.0,9423.4,,,AL THAMAM 11,Unit,20-05-2009
622,Villa,Residential,Existing Properties,Al Yelayiss 1,2-110-2017-328,Mortgages,Lease to Own Registration,REEM-MIRA COMMUNITY PH 3,,Dubai Cycling Course,,,3 B/R,0,216.0,1425000.0,6597.22,1425000.0,6597.22,,Villa,10-04-2017
623,Office,Commercial,Existing Properties,Business Bay,3-9-2018-317,Gifts,Grant,THE PRISM,Business Bay,Downtown Dubai,Business Bay Metro Station,Dubai Mall,Office,1,103.77,1116969.0,10763.89,,,THE PRISM,Unit,13-02-2018
624,,Residential,Existing Properties,Al Warqa Third,2-44-2018-82,Mortgages,Mortgage Transfer,,,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,,0,1174.48,1273000.0,1083.88,,,,Villa,05-06-2018
625,Office,Commercial,Existing Properties,Burj Khalifa,1-11-2019-870,Sales,Sell,BD BOULEVARD PLAZA,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Office,1,408.5,9383311.0,22970.16,,,BLVD PLAZA T1,Unit,30-01-2019
